image,question,options,answer,difficulty
vqa-001.jpg,"Vania has a sheet of paper divided into nine equal squares. She wants to fold the sheet as shown in the picture, initially with horizontal folds and then with vertical folds, until she leaves the colored square on top of the layers. Vania wants to write the numbers from 1 to 9 , one in each square, so that these numbers are in ascending order, starting with the number 1 at the top, after the folds are made above. On the open sheet, indicated at the side, which numbers should she write in place of $a, b$ and $c$?","['$a=9, b=5, c=3$' '$a=4, b=6, c=8$' '$a=7, b=5, c=3$' '$a=3, b=5, c=7$'
 '$a=6, b=4, c=7$']",C,1
vqa-002.jpg,"Two plane mirrors $O P$ and $O Q$ are inclined at an acute angle (diagram is not to scale). A ray of light $X Y$ parallel to $O Q$ strikes mirror $O P$ at $Y$. The ray is reflected and hits mirror $O Q$, is reflected again and hits mirror $O P$ and is reflected for a third time and strikes mirror $O Q$ at right angles at $R$ as shown. If $O R=5 \mathrm{~cm}$, what is the distance $d$ of the ray $X Y$ from the mirror $O Q$?","['$4 \mathrm{~cm}$' '$4.5 \mathrm{~cm}$' '$5 \mathrm{~cm}$'
 '$5.5 \mathrm{~cm}$' '$6 \mathrm{~cm}$']",C,5
vqa-003.jpg,"The first row shows 11 cards, each with two letters. The second row shows rearangement of the cards. Which of the following could appear on the bottom line of the second row?",['ANJAMKILIOR' 'RLIIMKOJNAA' 'JANAMKILIRO' 'RAONJMILIKA' 'ANMAIKOLIRJ'],E,4
vqa-004.jpg,"

Pascal's triangle is an array of positive integers(See figure), in which the first row is $1$, the second row is two $1$'s, each row begins and ends with $1$, and the $k^\text{th}$ number in any row when it is not $1$, is the sum of the $k^\text{th}$ and $(k-1)^\text{th}$ numbers in the immediately preceding row. The quotient of the number of numbers in the first $n$ rows which are not $1$'s and the number of $1$'s is","['$\frac{n^2-n}{2n-1}$' '$\frac{n^2-n}{4n-2}$' '$\frac{n^2-2n}{2n-1}$'
 '$\frac{n^2-3n+2}{4n-2}$' '$\text{None of these}$']",D,5
vqa-005.jpg,Which of the following is made using more than one piece of string?,"['I, III, IV and V' 'I, III and V' 'III, IV and V' 'all'
 'None of these answers']",B,3
vqa-006.jpg,"Susi folds a piece of paper in the middle. She stamps 2 holes.
What does the piece of paper look like when she unfolds it again?",['A' 'B' 'C' 'D' 'E'],B,2
vqa-007.jpg,Jan cannot draw very accurately but nevertheless he tried to produce a roadmap of his village. The relative position of the houses and the street crossings are all correct but three of the roads are actually straight and only Qurwik street is not. Who lives in Qurwik street?,['Amy' 'Ben' 'Carol' 'David' 'It cannot be determined from the drawing.'],C,1
vqa-008.jpg,"Matias wrote 15 numbers on the wheel represented beside. Only one of them is visible, the 10 on top of the wheel. The sum of the numbers in any seven consecutive positions, such as the gray positions in the figure, does not vary. When seven numbers in consecutive positions are summed up, which of the following results is possible?",['49' '70' '75' '105' '150'],B,1
vqa-009.jpg,"The Mayas used points and lines to write numbers. A point stands for 1, a line for 5. Which of the following Maya-numbers stands for 17?",['A' 'B' 'C' 'D' 'E'],D,2
vqa-010.jpg,"The diagram shows a pentagon and indicates the length of each side. Five circles are drawn with centres A, B, C, D and E. On each side of the pentagon the two circles that are drawn around the ends of that side touch each other. Which point is the centre of the biggest circle?",['A' 'B' 'C' 'D' 'E'],A,4
vqa-011.jpg,"A $3 \times 3$ field is made up of 9 unit squares. In two of these squares, circles are inscribed as shown in the diagram. How big is the shortest distance between these circles?",['$2 \sqrt{2}-1$' '$\sqrt{2+1}$' '$2 \sqrt{2}$' '2' '3'],A,4
vqa-012.jpg,"In the rectangle $A B C D$ pictured, $M_{1}$ is the midpoint of $D C, M_{2}$ the midpoint of $A M_{1}, M_{3}$ the midpoint of $B M_{2}$ and $M_{4}$ the midpoint of $C M_{3}$. Determine the ratio of the area of the quadrilateral $M_{1} M_{2} M_{3} M_{4}$ to the area of the rectangle $A B C D$.","['$\frac{7}{16}$' '$\frac{3}{16}$' '$\frac{7}{32}$' '$\frac{9}{32}$'
 '$\frac{1}{5}$']",C,5
vqa-013.jpg,"The figure below shows a square and four equilateral triangles, with each triangle having a side lying on a side of the square, such that each triangle has side length 2 and the third vertices of the triangles meet at the center of the square. The region inside the square but outside the triangles is shaded. What is the area of the shaded region?
","['$4$' '$12 - 4\sqrt{3}$' '$3\sqrt{3}$' '$4\sqrt{3}$'
 '$16 - \sqrt{3}$']",B,4
vqa-014.jpg,Two squares $9 \mathrm{~cm} \times 9 \mathrm{~cm}$ overlap so as to form a rectangle $9 \mathrm{~cm} \times 13 \mathrm{~cm}$ as shown. Find the area of the region in which the two squares overlap.,"['$36 \mathrm{~cm}^{2}$' '$45 \mathrm{~cm}^{2}$'
 '$54 \mathrm{~cm}^{2}$' '$63 \mathrm{~cm}^{2}$'
 '$72 \mathrm{~cm}^{2}$']",B,2
vqa-015.jpg,An octahedron is inscribed into a die with side length 1. The vertices of the octahedron are the midpoints of the faces of the die. How big is the volume of the octahedron?,"['$\frac{1}{3}$' '$\frac{1}{4}$' '$\frac{1}{5}$' '$\frac{1}{6}$'
 '$\frac{1}{8}$']",D,3
vqa-016.jpg,"The robot starts walking over white cells of the table from the cell A2 in the direction of the arrow, as shown in the picture. It goes always forward. If it meets an obstacle (a black cell or the border of the table), it turns right. The robot stops in case, it cannot go forward after turning right (i.e., it stops in the cell where the obstacles appear in front of him and on the right). In which cell will it stop?",['B2' 'B1' 'A1' 'D1' 'It never stops'],D,2
vqa-017.jpg,Kelly had a paper ribbon of $27 \mathrm{~cm}$ long. She divided it into four rectangles of different size and drew two segments both of which connected the centres of the two adjacent rectangles (see the picture). Find the sum of lengths of the two segments.,"['$12 \mathrm{~cm}$' '$13.5 \mathrm{~cm}$' '$14 \mathrm{~cm}$'
 '$14.5 \mathrm{~cm}$' 'The number depends on the division']",B,1
vqa-018.jpg,"Ellen wants to decorate the butterfly Which butterfly can she make?
using these 6 stickers",['A' 'B' 'C' 'D' 'E'],A,1
vqa-019.jpg,Meike paddles around five buoys with her boat (see diagram). Which of the buoys does she paddle around in a clockwise direction?,"['2, 3 and 4' '1, 2 and 3' '1, 3 and 5' '2, 4 and 5' '2, 3 and 5']",E,3
vqa-020.jpg,"

Given that all angles shown are marked, the perimeter of the polygon shown is","['$14$' '$20$' '$28$' '$48$'
 '$\text{cannot be determined from the information given}$']",C,2
vqa-021.jpg,"

The bar graph shows the grades in a mathematics class for the last grading period.  If A, B, C, and D are satisfactory grades, what fraction of the grades shown in the graph are satisfactory?","['$\frac{1}{2}$' '$\frac{2}{3}$' '$\frac{3}{4}$' '$\frac{4}{5}$'
 '$\frac{9}{10}$']",C,2
vqa-022.jpg,Below you see five pieces of lawn. Which one has the smallest area of grass?,['A' 'B' 'C' 'D' 'E'],A,1
vqa-023.jpg,Which of the tiles below is NOT part of the wall next door?,['A' 'B' 'C' 'D' 'E'],E,1
vqa-024.jpg,"Oli coloured in the following 8 fields in the grid: A2, B1, B2, B3, B4, C3, D3 and D4. Which is his grid?",['(A)' '(B)' '(C)' '(D)' '(E)'],C,1
vqa-025.jpg,"Which of the following polygons has the largest area?
",['$\text{A}$' '$\text{B}$' '$\text{C}$' '$\text{D}$' '$\text{E}$'],E,4
vqa-026.jpg,"Five cars are labelled with the numbers 1 to 5 . They drive in the direction of the arrow.
First the last car overtakes the two cars in front of it.
Then the now second to last car overtakes the two in front of it.
In the end the car that is now in the middle overtakes the two in front of it.
In which order do the cars now drive?","['$1,2,3,4,5$' '$2,1,3,5,4$' '$2,1,5,3,4$' '$3,1,4,2,5$' '$4,1,2,5,3$']",B,2
vqa-027.jpg,"Three one-inch squares are palced with their bases on a line. The center square is lifted out and rotated $ 45^\circ$, as shown. Then it is centered and lowered into its original location until it touches both of the adjoining squares. How many inches is the point $ B$ from the line on which the bases of the original squares were placed?",['$1$' '$\sqrt{2}$' '$\frac{3}{2}$' '$\sqrt{2} + \frac{1}{2}$' '$2$'],D,4
vqa-028.jpg,A dark disc with three holes is placed on top of a dial of a watch (see diagram). Then the disc is rotated around its centre. Which numbers can be seen at the same time?,"['4, 6 and 12' '1, 5 and 10' '2, 4 and 9' '3, 6 and 9' '5, 7 and 12']",A,1
vqa-029.jpg,"In the Kangaroo constellation, all stars have a number greater than 3 and their sum is 20 . Which is the Kangaroo constellation?",['A' 'B' 'C' 'D' 'E'],B,2
vqa-030.jpg,In addition to the weight of the basket a single balloon can lift $80 \mathrm{~kg}$. 2 balloons can lift $180 \mathrm{~kg}$ in addition to the weight of the basket. How heavy is the basket?,"['$60 \mathrm{~kg}$' '$50 \mathrm{~kg}$' '$40 \mathrm{~kg}$'
 '$30 \mathrm{~kg}$' '$20 \mathrm{~kg}$']",E,2
vqa-031.jpg,"The ""Borromaic Rings"" have an extraordinary property. Although no two are interlocked, they are strongly connected within each other. If one ring is cut through, the other two fall apart. Which of the following diagrams shows the picture of ""Borromaic Rings""?",['A' 'B' 'C' 'D' 'E'],B,2
