image,human_captions
ic-001.jpg,"['A baby cow standing in a pen next to another cow.', 'One cow standing and one laying down within a fence.', 'A brown and black cow is next to a fence.', 'A cow standing next to a calf in the corner of a paddock with a dirt floor.', 'Two brown cows sitting inside a fence staring out.']"
ic-002.jpg,"['A woman standing under an umbrella looking up.', 'An older lady is holding her umbrella, looking away.', 'A woman in a blue blazer and glasses holds a plaid umbrella and her purse outdoors.', 'a person wearing glasses holding an open umbrella', 'a woman standing with an umbrella over her head']"
ic-003.jpg,"['A man is holding an umbrella beside a truck.', 'A man is walking by a truck holding an umbrella.', 'A man walking past a truck with an umbrella.', 'Black and white image of man with an umbrella on a city street.', 'A black and white picture of a man with an umbrella standing in front of a truck.']"
ic-004.jpg,"['There are two men sitting on a park bench', 'Two men sit on a bench as they talk', 'A black and white picture of two men straddling a park bench', 'Two men sitting straddling a bench facing each other and eating.', 'A group of men sitting on a bench together.']"
ic-005.jpg,"['a plate of waffles with bananas and condiments', 'Three white plates topped with different foods next to a cup of coffee.', 'A plate has a waffle with syrup and bananas on it.', 'Breakfast is complete with a large waffle topped with bananas.', 'a waffle with bananas on it and other food on the table']"
ic-006.jpg,"['A zebra in a zoo pin looking down at the ground.', 'A zebra is standing next to a log', 'The zebra is standing by the fallen tree limb.', 'One zebra stands still while another one lays down in a pen.', 'A zebra standing behind a cut log in an enclosure.']"
ic-007.jpg,"['A woman in a red robe is sitting at a dining table.', 'A woman in a red flowered shawl sits at a table while a man wearing jeans is in the kitchen looking at her.', 'A person sits at a table and another person stands in the kitchen.', 'A woman is sitting at a table wearing a robe while a man is cooking.', 'Man and woman in a kitchen looking in the same direction.']"
ic-008.jpg,"['A surfer sits on his surfboard in the sand close to the water.', 'Near the surf, a man sits hunched over on his board.', 'A person sitting on a surfboard on a beach', 'A man sitting on his surfboard on the beach.', 'A young man is sitting on his surf board next to the beach.']"
ic-009.jpg,"['An old brick building along side of a river', 'a wooden street sign next to a tree and a river', 'A flooded road and a sign that says, ""East Street"".', 'A black sign that is standing in the grass.', 'A street next to a large building is flooded.']"
ic-010.jpg,"['a close up of a sheet of pizza on a table', 'A slice of pizza with cheese, broccoli, and chicken.', 'A half of a pizza that is on a table.', 'A close-up of a half of a pizza pie.', 'Half of a thin crust gourmet broccoli pizza']"
ic-011.jpg,"['This is a room full of laptop computers.', 'There is a room with several laptops on tables.', 'A classroom with laptop computers, a projection screen and a basket of cookies.', 'A computer lab has a blue wall and projector screen.', 'some tables laptops chairs a white board and a white screen']"
ic-012.jpg,"['A skateboarder who is jumping down a flight of stairs', 'A skaterboarder getting major air over some stairs during a night time shoot.', 'A skate boarder jumping down some stairs at night', 'A skateboarder riding down a flight of stone stairs.', 'A young man skateboarding over a flight of steps']"
ic-013.jpg,"['Many people walk nearby tall old buildings.', 'People walking down footpaths past old brick buildings.', 'some people tables brown buildings and a clock', 'Tables are set up under a canopy and people are approaching the tables.', 'A cluster of old buildings rises above a shaded table.']"
ic-014.jpg,"['A man sitting on a stone block talking on a cell phone.', 'A man sitting on a concrete pedestal talking on the phone.', 'A man sitting on a concrete post, talking on a cell phone.', 'A man sitting on a post talking on a cell phone.', 'A man sitting on a pillar talking on the phone']"
ic-015.jpg,"['A man stears a bored through the water.', 'A paddle boarder is navigating his paddle board through the surf.', 'A man without a shirt surfing in the ocean.', 'A surfer uses a paddle while surfing through water.', 'A young man with a paddle on an orange surfboard']"
ic-016.jpg,"['A group of people on skis posing for the picture', 'Multiple skiers posing on top of a mountain.', 'a couple of people in skies are in the snow', 'Several people standing next to each other while on their skis.', 'A group of people standing next to each other on skis.']"
ic-017.jpg,"['A woman and two men are making pizzas around a table.', 'Three people smiling while they make mini pizzas.', 'three people gathered around a table with ingredients preparing their own pizza', 'Three people preparing pizzas on a table set with ingredients.', 'Two guys and one girl displaying a table full of pizza making toppings.']"
ic-018.jpg,"['Black and white dog laying down on bed.', 'A dog and cat sleeping together on a dog bed.', 'An adorable dog laying down on a dog bed.', 'A black down lounging on its pet bed.', 'A dog laying in a doggy bed with a cat.']"
ic-019.jpg,"['a stop sign sits on the corner of a street', 'A red stop sign in front of a building.', 'A stop sign altered with spray painted graffiti', 'a stop sign on the corner of a street of apartments', 'The stop sign is at the end of the residential street,']"
ic-020.jpg,"['a clock on the outside of a building saying it is a little after 5 o clock', 'A clock that is on the side of a building.', 'The front of a building with a clock above windows.', 'A clock with Roman numerals set in a brick building.', 'A clock way up the side of a brick building.']"
ic-021.jpg,"['A brown horse walking up the side of a hill.', 'A brown horse galloping down the green pasture.', 'A brown horse is ready to go for a run in the pasture.', 'A horse is walking at the top of a hill.', 'A brown horse walking on grass with building in background.']"
